epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,200.946,1.56895,1.21794,1.15144,0.84598,0.55921,0.63768,0.34727,1.60819,1.32816,1.22159,0.0004754,0.0004754,0.0004754
79,203.948,1.49547,1.41202,1.18697,0.87083,0.58553,0.66437,0.37342,1.57459,1.23785,1.2081,0.0004556,0.0004556,0.0004556
80,206.897,1.59802,1.15198,1.15301,0.87083,0.58553,0.66437,0.37342,1.57459,1.23785,1.2081,0.0004358,0.0004358,0.0004358
81,209.988,1.53566,1.1637,1.06556,0.95021,0.57237,0.6825,0.39371,1.5375,1.10681,1.20005,0.000416,0.000416,0.000416
82,213.019,1.75876,2.13672,1.18985,0.95021,0.57237,0.6825,0.39371,1.5375,1.10681,1.20005,0.0003962,0.0003962,0.0003962
83,216.079,1.42894,1.17414,1.11761,0.9525,0.60526,0.70034,0.40177,1.53839,1.04864,1.20864,0.0003764,0.0003764,0.0003764
84,219.055,1.52428,1.33192,1.14967,0.94387,0.60526,0.69587,0.39793,1.54681,1.04741,1.21107,0.0003566,0.0003566,0.0003566
85,221.991,1.52568,1.21697,1.09929,0.94387,0.60526,0.69587,0.39793,1.54681,1.04741,1.21107,0.0003368,0.0003368,0.0003368
86,224.965,1.55075,1.2465,1.09203,0.93175,0.62869,0.69594,0.40116,1.54546,0.99413,1.20749,0.000317,0.000317,0.000317
87,227.992,1.50951,1.16454,1.14506,0.94974,0.64474,0.70078,0.41219,1.54283,0.979,1.20099,0.0002972,0.0002972,0.0002972
88,230.903,1.47777,1.19501,1.08869,0.94974,0.64474,0.70078,0.41219,1.54283,0.979,1.20099,0.0002774,0.0002774,0.0002774
89,233.863,1.69123,1.38732,1.1459,0.97347,0.65132,0.70282,0.41118,1.53265,0.97152,1.19255,0.0002576,0.0002576,0.0002576
90,236.766,1.50191,1.254,1.12497,0.97347,0.65132,0.70282,0.41118,1.53265,0.97152,1.19255,0.0002378,0.0002378,0.0002378
91,239.881,1.50932,1.41208,1.07116,0.96075,0.64408,0.7018,0.41035,1.53439,0.98145,1.18842,0.000218,0.000218,0.000218
92,242.824,1.89262,1.82331,1.11561,0.88427,0.65347,0.6974,0.40953,1.53292,0.98061,1.18587,0.0001982,0.0001982,0.0001982
93,245.75,2.05388,3.66094,1.03379,0.88427,0.65347,0.6974,0.40953,1.53292,0.98061,1.18587,0.0001784,0.0001784,0.0001784
94,248.758,1.63452,1.4498,1.12545,0.90784,0.625,0.68906,0.40625,1.54249,0.9956,1.18785,0.0001586,0.0001586,0.0001586
95,251.823,1.54481,1.18655,1.08374,0.91425,0.625,0.68561,0.40452,1.54417,1.01123,1.18725,0.0001388,0.0001388,0.0001388
96,254.795,1.61717,1.37135,1.13832,0.91425,0.625,0.68561,0.40452,1.54417,1.01123,1.18725,0.000119,0.000119,0.000119
97,257.865,1.61248,3.07899,1.18749,0.90852,0.61842,0.67652,0.3944,1.56172,1.0467,1.19211,9.92e-05,9.92e-05,9.92e-05
98,260.832,1.79647,2.11846,1.08987,0.90852,0.61842,0.67652,0.3944,1.56172,1.0467,1.19211,7.94e-05,7.94e-05,7.94e-05
99,263.911,1.41079,1.16659,1.15251,0.88943,0.61842,0.67889,0.39554,1.55733,1.03678,1.18831,5.96e-05,5.96e-05,5.96e-05
100,266.997,1.52571,1.35003,1.14023,0.8812,0.63816,0.68035,0.39481,1.55747,1.04071,1.18818,3.98e-05,3.98e-05,3.98e-05
